t_minus_t0_M,FastEMRIWaveforms_delta_h20_real_over_nu,FastEMRIWaveforms_delta_h20_imag_over_nu,effective_0PN_delta_h20_real_over_nu,effective_0PN_delta_h20_imag_over_nu,FastEMRIWaveforms_delta_h30_real_over_nu,FastEMRIWaveforms_delta_h30_imag_over_nu,effective_0PN_delta_h30_real_over_nu,effective_0PN_delta_h30_imag_over_nu
199951166679.87454,0.07349130558435882,-2.2824457179017614e-19,0.023627366106266312,0.0,-1.535338405869585e-27,5.128024529436383e-09,0.0,1.9528948471844544e-10
199951236575.11148,0.07355113436429656,-2.285307104885271e-19,0.023627831244796022,0.0,-1.5996156053557985e-27,5.141318618611838e-09,0.0,1.952992898973063e-10
199951306238.9438,0.07361099440704628,-2.2888758394395424e-19,0.02362829487618886,0.0,-1.664932793734502e-27,5.154644087468037e-09,0.0,1.9530906365141156e-10
199951375672.1375,0.07367088566395386,-2.293090904716329e-19,0.023628757005221948,0.0,-1.7312153574652847e-27,5.168000923325295e-09,0.0,1.953188060781123e-10
199951444875.45624,0.07373080808356468,-2.297886715993949e-19,0.023629217636657217,0.0,-1.798388683007735e-27,5.181389113503933e-09,0.0,1.953285172744639e-10
199951513849.66107,0.07379076161162433,-2.3031931850781015e-19,0.023629676775243344,0.0,-1.8663781568216544e-27,5.194808645324307e-09,0.0,1.9533819733726724e-10
199951582595.51053,0.07385074619107838,-2.308935784157057e-19,0.02363013442571393,0.0,-1.935109165366558e-27,5.208259506106724e-09,0.0,1.953478463630302e-10
199951651113.76062,0.07391076176217991,-2.3150356091271973e-19,0.02363059059278833,0.0,-2.0045070951022516e-27,5.221741683171542e-09,0.0,1.9535746444798442e-10
199951719405.16492,0.07397080826242439,-2.32140944236595e-19,0.023631045281171978,0.0,-2.07449733248832e-27,5.23525516383908e-09,0.0,1.9536705168809257e-10
199951787470.4744,0.07403088562663523,-2.3279698149860165e-19,0.02363149849555524,0.0,-2.145005263984349e-27,5.2487999354296555e-09,0.0,1.9537660817902379e-10
199951855310.4376,0.07409099378696293,-2.3346250685520917e-19,0.023631950240614926,0.0,-2.2159562760500697e-27,5.262375985263612e-09,0.0,1.9538613401618504e-10
199951922925.80057,0.0741511326834868,-2.3412831905656177e-19,0.023632400521013293,0.0,-2.2926919291067377e-27,5.2759843063907556e-09,0.0,1.9539562929470082e-10
199951990317.30695,0.07421130232819032,-2.3478766083078114e-19,0.02363284934139903,0.0,-2.3865859653607135e-27,5.289627102510009e-09,0.0,1.954050941094329e-10
199952057485.69785,0.07427150276582058,-2.354352972762611e-19,0.02363329670640629,0.0,-2.4970561750052512e-27,5.3033044367011715e-09,0.0,1.954145285549597e-10
199952124431.71194,0.07433173403777404,-2.3606634493816175e-19,0.023633742620655165,0.0,-2.623083128969435e-27,5.317016292236202e-09,0.0,1.9542393272558733e-10
199952191156.08545,0.07439199618167637,-2.366762509655803e-19,0.02363418708875158,0.0,-2.763647398182604e-27,5.330762652387091e-09,0.0,1.954333067153458e-10
199952257659.5522,0.07445228923141087,-2.3726078905608533e-19,0.023634630115288182,0.0,-2.9177295535741564e-27,5.344543500425831e-09,0.0,1.954426506180085e-10
199952323942.84354,0.07451261321714711,-2.378160554328994e-19,0.02363507170484301,0.0,-3.0843101660731767e-27,5.358358819624382e-09,0.0,1.9545196452706333e-10
199952390006.68835,0.07457296816532305,-2.383384648542302e-19,0.02363551186197981,0.0,-3.2623698066086905e-27,5.372208593254705e-09,0.0,1.954612485357201e-10
199952455851.8133,0.07463335409883154,-2.3882474665656456e-19,0.023635950591250038,0.0,-3.450889046110099e-27,5.386092804588789e-09,0.0,1.9547050273695164e-10
199952521478.94235,0.07469377103684355,-2.3927194082691453e-19,0.023636387897189276,0.0,-3.648848455506848e-27,5.400011436898626e-09,0.0,1.954797272234185e-10
199952586888.79733,0.07475421899503988,-2.396773941103034e-19,0.02363682378432115,0.0,-3.855228605727964e-27,5.413964473456179e-09,0.0,1.9548892208755192e-10
199952652082.09756,0.07481469798552454,-2.4003875614626663e-19,0.023637258257154188,0.0,-4.069010067702677e-27,5.42795189753342e-09,0.0,1.9549808742148627e-10
199952717059.56,0.07487520801692017,-2.4035397563816835e-19,0.023637691320184125,0.0,-4.289173412359968e-27,5.441973692402311e-09,0.0,1.9550722331710872e-10
199952781821.8992,0.0749357490943253,-2.406212965528981e-19,0.023638122977892178,0.0,-4.5146992106292916e-27,5.456029841334843e-09,0.0,1.9551632986602164e-10
199952846369.8274,0.07499632121943298,-2.408392543524186e-19,0.02363855323474673,0.0,-4.7445680334401255e-27,5.470120327603007e-09,0.0,1.9552540715957908e-10
199952910704.05447,0.07505692439055733,-2.4100667225554835e-19,0.023638982095202182,0.0,-4.977760451721456e-27,5.484245134478764e-09,0.0,1.9553445528886133e-10
199952974825.2879,0.07511755860261302,-2.41122657530207e-19,0.023639409563699136,0.0,-5.2132570364022526e-27,5.4984042452340745e-09,0.0,1.955434743446794e-10
199953038734.23285,0.07517822384714021,-2.411865978164336e-19,0.02363983564466513,0.0,-5.450038358411997e-27,5.512597643140928e-09,0.0,1.955524644175899e-10
199953102431.59216,0.07523892011242404,-2.4119815747956727e-19,0.023640260342513885,0.0,-5.687084988680164e-27,5.526825311471317e-09,0.0,1.9556142559787933e-10
199953165918.0663,0.07529964738344949,-2.411572739931695e-19,0.02364068366164544,0.0,-5.9233774981357295e-27,5.541087233497202e-09,0.0,1.9557035797556673e-10
199953229194.35355,0.07536040564199718,-2.4106415435190035e-19,0.023641105606447537,0.0,-6.157896457707919e-27,5.555383392490558e-09,0.0,1.955792616404326e-10
199953292261.14966,0.07542119486657324,-2.409192715140615e-19,0.023641526181293043,0.0,-6.389622438325712e-27,5.569713771723346e-09,0.0,1.955881366819646e-10
199953355119.14832,0.07548201503257669,-2.4072336087325084e-19,0.0236419453905427,0.0,-6.617536010918585e-27,5.584078354467556e-09,0.0,1.955969831894152e-10
199953417769.0407,0.07554286611220437,-2.404774167597044e-19,0.02364236323854295,0.0,-6.840617746416006e-27,5.598477123995182e-09,0.0,1.9560580125175558e-10
199953480211.51584,0.07560374807454666,-2.401826889702618e-19,0.02364277972962766,0.0,-7.057848215746952e-27,5.612910063578181e-09,0.0,1.9561459095771244e-10
199953542447.26047,0.07566466088566007,-2.3984067932698193e-19,0.023643194868117553,0.0,-7.268207989840427e-27,5.627377156488515e-09,0.0,1.95623352395755e-10
199953604476.95895,0.07572560450849422,-2.39453138265196e-19,0.023643608658319572,0.0,-7.470677639625894e-27,5.641878385998174e-09,0.0,1.956320856540825e-10
199953666301.2935,0.07578657890298772,-2.390220614492024e-19,0.023644021104527495,0.0,-7.664237736032786e-27,5.656413735379151e-09,0.0,1.9564079082063605e-10
199953727920.94397,0.07584758402609151,-2.385496864165046e-19,0.023644432211022668,0.0,-7.847868849990108e-27,5.670983187903405e-09,0.0,1.9564946798311414e-10
199953789336.58807,0.07590861983184127,-2.3803848924974013e-19,0.023644841982072822,0.0,-8.020551552427079e-27,5.685586726842912e-09,0.0,1.9565811722894844e-10
199953850548.90118,0.0759696862712574,-2.3749118127789515e-19,0.023645250421932672,0.0,-8.181266414272765e-27,5.700224335469632e-09,0.0,1.9566673864531529e-10
199953911558.5565,0.07603078329253976,-2.3691070580282784e-19,0.02364565753484427,0.0,-8.32899400645658e-27,5.7148959970555565e-09,0.0,1.9567533231914314e-10
