t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
306000.0,0.0006582775698554394,0.0,0.0006589476158038161,3.1115683654741265e-30,0.0,3.878775861854856e-08,0.0,3.722958505862876e-08
306240.0,0.0006588604687161031,0.0,0.0006595300331359823,2.7975486911760883e-30,0.0,3.882409991703423e-08,4.437342591868191e-31,3.7264458550650483e-08
306480.0,0.000659443463901463,0.0,0.0006601125691645235,3.0796323701531007e-30,0.0,3.88604233037477e-08,7.099748146989106e-30,3.729934580261277e-08
306720.0,0.0006600263192146681,0.0,0.0006606952239445026,2.4736364739926186e-30,0.0,3.889673078619046e-08,-3.549874073494553e-30,3.733424787647419e-08
306960.0,0.0006606088747475047,0.0,0.0006612779975316535,2.9607551156446548e-30,0.0,3.893302871926631e-08,4.437342591868191e-31,3.7369164423583265e-08
307200.0,0.0006611911422548882,0.0,0.0006618608899789515,3.3769013529559396e-30,0.0,3.89693332403105e-08,-3.993608332681372e-30,3.7404094212577085e-08
307440.0,0.000661773157601899,0.0,0.0006624439013364198,3.3665899223157276e-30,0.0,3.9005661676238435e-08,-8.874685183736383e-31,3.743903600028055e-08
307680.0,0.0006623549818810335,0.0,0.0006630270316511579,3.019925453365905e-30,0.0,3.904202570297129e-08,-4.4373425918681914e-30,3.7473988542996617e-08
307920.0,0.0006629367087950774,0.0,0.0006636102809670756,2.763609378758408e-30,0.0,3.907842969165755e-08,3.549874073494553e-30,3.75089502975456e-08
308160.0,0.0006635184367566661,0.0,0.0006641936493194554,2.1034971739655494e-30,0.0,3.9114877102646305e-08,3.549874073494553e-30,3.75439187096254e-08
308400.0,0.0006641003012093194,0.0,0.0006647771367373252,2.566150845740055e-30,0.0,3.9151365198417274e-08,-8.874685183736383e-31,3.757889382352759e-08
308640.0,0.0006646824655638065,0.0,0.0006653607432503992,2.9925790383591668e-30,0.0,3.918788656056319e-08,8.430950924549564e-30,3.7613876030289384e-08
308880.0,0.0006652650724853235,0.0,0.0006659444688893766,3.1324169439059568e-30,0.0,3.922443330174566e-08,-2.2186712959340957e-30,3.764886574938068e-08
309120.0,0.0006658481127264082,0.0,0.000666528313686513,4.2186141488824335e-30,0.0,3.926099502840707e-08,-4.437342591868191e-31,3.768386404027343e-08
309360.0,0.0006664315114154342,0.0,0.0006671122776850931,4.1416511595203444e-30,0.0,3.929756026434893e-08,6.212279628615468e-30,3.771887448564946e-08
309600.0,0.0006670151964113485,0.0,0.000667696360938401,4.499575723063013e-30,0.0,3.9334119190749115e-08,-2.2186712959340957e-30,3.775389821148656e-08
309840.0,0.0006675991068590041,0.0,0.0006682805635017696,5.15331711179121e-30,0.0,3.937066825905383e-08,2.662405555120915e-30,3.778893595951697e-08
310080.0,0.0006681831846254357,0.0,0.0006688648854323224,5.1677415387963786e-30,0.0,3.940720541881935e-08,-3.549874073494553e-30,3.782398848591094e-08
310320.0,0.0006687673809835136,0.0,0.0006694493267885178,4.6186978943330424e-30,0.0,3.944373162660808e-08,-2.662405555120915e-30,3.78590560289554e-08
310560.0,0.0006693516667107969,0.0,0.0006700338876236514,5.056591761675468e-30,0.0,3.948025407454872e-08,2.662405555120915e-30,3.789413654687749e-08
310800.0,0.0006699360161850625,0.0,0.0006706185679845758,5.49150503777048e-30,0.0,3.951678065562103e-08,5.768545369428649e-30,3.792922860081535e-08
311040.0,0.0006705204416078549,0.0,0.000671203367914971,5.758309922481226e-30,0.0,3.95533168819657e-08,-2.2186712959340957e-30,3.7964330885510816e-08
311280.0,0.0006711050001751075,0.0,0.0006717882874554266,6.290272690200418e-30,0.0,3.958986543352565e-08,-1.7749370367472766e-30,3.799944208807659e-08
311520.0,0.0006716897444824846,0.0,0.0006723733266433135,5.886442201499558e-30,0.0,3.9626428767286514e-08,1.7749370367472766e-30,3.803456080037201e-08
311760.0,0.0006722746349146068,0.0,0.0006729584855113034,5.2336832234197e-30,0.0,3.9663008602666885e-08,1.3312027775604574e-30,3.806968604286942e-08
312000.0,0.0006728595682095205,0.0,0.0006735437640908773,5.816401305064891e-30,0.0,3.969960614999645e-08,-2.662405555120915e-30,3.8104818646148785e-08
312240.0,0.0006734444469391717,0.0,0.0006741291624157528,5.534075753184452e-30,0.0,3.973622248058428e-08,-4.437342591868191e-31,3.813995959276887e-08
312480.0,0.0006740292185280833,0.0,0.0006747146805219829,5.6737134616952766e-30,0.0,3.977285785116244e-08,-8.874685183736383e-31,3.817510985152089e-08
312720.0,0.0006746138478739045,0.0,0.000675300318448143,6.807530825213206e-30,0.0,3.980951220123638e-08,1.3312027775604574e-30,3.8210270697190764e-08
312960.0,0.0006751983188032699,0.0,0.0006758860762420006,6.421686416938244e-30,0.0,3.9846185766242635e-08,2.662405555120915e-30,3.824544539512268e-08
313200.0,0.0006757826786235076,0.0,0.0006764719539613241,6.031049368143925e-30,0.0,3.988287977853732e-08,-4.437342591868191e-31,3.8280634627186174e-08
313440.0,0.0006763669884210231,0.0,0.0006770579516644812,6.164354752076343e-30,0.0,3.991959565532785e-08,-3.549874073494553e-30,3.831583834999087e-08
313680.0,0.0006769513562346031,0.0,0.0006776440694097788,7.060748788471503e-30,0.0,3.995633232072832e-08,-1.7749370367472766e-30,3.835105654840438e-08
313920.0,0.0006775359770370844,0.0,0.0006782303072554179,6.427772467535914e-30,0.0,3.999308408279962e-08,4.4373425918681914e-30,3.838628906271105e-08
314160.0,0.0006781210518282835,0.0,0.0006788166652535401,6.264288350460165e-30,0.0,4.002984478865579e-08,-3.106139814307734e-30,3.842153295376808e-08
314400.0,0.0006787066945282045,0.0,0.000679403143443789,6.977786177432019e-30,0.0,4.006660929134619e-08,-3.549874073494553e-30,3.845678632766782e-08
314640.0,0.0006792929266219913,0.0,0.0006799897418624684,7.188849815486731e-30,0.0,4.010337351171646e-08,5.768545369428649e-30,3.8492048304780825e-08
